episode,reward,steps
1387,200.0,200
1388,200.0,200
1389,200.0,200
1390,200.0,200
1391,200.0,200
1392,200.0,200
1393,200.0,200
1394,200.0,200
1395,200.0,200
1396,200.0,200
1397,200.0,200
1398,200.0,200
1399,200.0,200
1400,200.0,200
1401,200.0,200
1402,200.0,200
1403,200.0,200
1404,200.0,200
1405,200.0,200
1406,200.0,200
1407,200.0,200
1408,200.0,200
1409,200.0,200
1410,200.0,200
1411,200.0,200
1412,200.0,200
1413,200.0,200
1414,200.0,200
1415,200.0,200
1416,200.0,200
1417,200.0,200
1418,200.0,200
1419,200.0,200
1420,200.0,200
1421,200.0,200
1422,200.0,200
1423,200.0,200
1424,200.0,200
1425,200.0,200
1426,200.0,200
1427,200.0,200
1428,200.0,200
1429,200.0,200
1430,200.0,200
1431,200.0,200
1432,200.0,200
1433,200.0,200
1434,200.0,200
1435,200.0,200
1436,200.0,200
1437,200.0,200
1438,200.0,200
1439,200.0,200
1440,200.0,200
1441,200.0,200
1442,200.0,200
1443,200.0,200
1444,200.0,200
1445,200.0,200
1446,200.0,200
1447,200.0,200
1448,200.0,200
1449,200.0,200
1450,200.0,200
1451,200.0,200
1452,200.0,200
1453,200.0,200
1454,200.0,200
1455,200.0,200
1456,200.0,200
1457,200.0,200
1458,200.0,200
1459,200.0,200
1460,200.0,200
1461,200.0,200
1462,200.0,200
1463,200.0,200
1464,200.0,200
1465,200.0,200
1466,200.0,200
1467,200.0,200
1468,200.0,200
1469,200.0,200
1470,200.0,200
1471,200.0,200
1472,200.0,200
1473,200.0,200
1474,200.0,200
1475,200.0,200
1476,200.0,200
1477,200.0,200
1478,200.0,200
1479,200.0,200
1480,200.0,200
1481,200.0,200
1482,200.0,200
1483,200.0,200
1484,200.0,200
1485,200.0,200
1486,200.0,200
1487,200.0,200
1488,200.0,200
1489,200.0,200
1490,200.0,200
1491,200.0,200
1492,200.0,200
1493,200.0,200
1494,200.0,200
1495,200.0,200
1496,200.0,200
1497,200.0,200
1498,200.0,200
1499,200.0,200
